Country,Wealth Gini 2008,Wealth Gini 2018,Wealth Gini 2019,Population,Population % of world,Nominal GDP (in millions),Nominal GDP % of world,GDP per capita
World,0.804,0.904,0.885,8038013000.0,100.0,101560904.0,100,11258.0
Afghanistan,,,0.655,,,,,
Albania,0.642,0.629,0.637,2882740.0,0.036,15103.0,0.014,5239.0
Algeria,0.67,0.758,0.749,42228420.0,0.53,0.55,0,4115.0
Angola,,,0.731,,,,,
Antigua and Barbuda,0.747,0.838,0.823,96280.0,0.0012,1611.0,0.0015,16732.0
Argentina *,0.74,0.792,0.768,44361150.0,0.55,0.58,0,11719.0
Armenia,0.684,0.645,0.663,2951740.0,0.037,12433.0,0.012,4212.0
Aruba,,,0.703,,,,,
Australia,0.622,0.658,0.656,24898150.0,0.31,1433904.0,1.4,57591.0
Austria,0.646,0.764,0.739,8891380.0,0.11,455286.0,0.43,51205.0
Azerbaijan,0.678,0.643,0.654,9949540.0,0.12,46940.0,0.044,4718.0
Bahamas,,,0.828,,,,,
Bahrain,,,0.747,,,,,
Bangladesh,0.66,0.671,0.678,161376700.0,2.0,2.11,00,1698.0
Barbados,0.706,0.788,0.778,285720.0,0.0036,4990.0,0.0047,17465.0
Belarus,0.628,0.614,0.621,9452620.0,0.12,59662.0,0.057,6312.0
Belgium,0.662,0.659,0.603,11482180.0,0.14,542761.0,0.51,47270.0
Belize,0.763,0.815,0.803,383070.0,0.0048,1871.0,0.0018,4884.0
Benin,0.713,0.689,0.707,11485040.0,0.14,10354.0,0.0098,902.0
Bolivia,0.762,0.779,0.764,11050000.0,0.14,40288.0,0.038,3646.0
Bosnia and Herzegovina,,,0.642,3301.0,0.0,21023.0,0.020,6056.0
Botswana,0.751,0.783,0.8,2254.07,0.0,18616.0,0.018,8259.0
Brazil *,0.62,0.823,0.849,209469310.0,2.6,2.74,0,8921.0
Brunei,,,0.787,,,,,
Bulgaria,0.652,0.647,0.659,7051610.0,0.088,65133.0,0.062,9237.0
Burkina Faso,0.728,0.674,0.688,19751470.0,0.25,14125.0,0.013,715.0
Burundi,0.699,0.654,0.681,11175380.0,0.14,3037.0,0.0029,272.0
Cambodia,0.714,0.704,0.718,16249800.0,0.2,24542.0,0.023,1510.0
Cameroon,0.711,0.725,0.743,25216260.0,0.31,38675.0,0.037,1534.0
Canada,0.688,0.726,0.728,37074560.0,0.46,1713342.0,1.6,46213.0
Central African Republic,0.782,0.768,0.777,4666380.0,0.058,2220.0,0.0021,476.0
Chad,0.681,0.715,0.73,15477730.0,0.19,0.2,0,728.0
Chile,0.777,0.773,0.798,18729170.0,0.23,331250.0,0.31,15923.0
China *,0.55,0.714,0.702,1427647700.0,18.0,15710960.0,15,9532.0
Colombia *,0.765,0.807,0.77,49661060.0,0.62,0.65,0,6666.0
Comoros,0.711,0.766,0.783,832320.0,0.01,1178.0,0.0011,1415.0
DR Congo,,,0.755,,,,,
Congo,,,0.769,,,,,
Costa Rica,0.732,0.769,0.75,4999440.0,0.062,0.07,0,12027.0
Croatia,0.654,0.631,0.645,4156410.0,0.052,60972.0,0.058,14669.0
Cyprus,,,0.801,,,,,
